material_id,formula,src_elem,dst_elem,hetero,distance,gate_layer1,gate_layer2,gate_layer3,gate_final_layer,gate_mean_all_layers
mp-865359,Tm2MgIn,Tm,Mg,True,3.1963940236665604,0.45189118,0.37084392,0.39298597,0.39298597,0.40524033
mp-865359,Tm2MgIn,Tm,Mg,True,3.1963940236665604,0.45189118,0.37084392,0.39298597,0.39298597,0.40524033
mp-865359,Tm2MgIn,Tm,In,True,3.1963940236665604,0.4518169,0.41346067,0.41551274,0.41551274,0.4269301
mp-865359,Tm2MgIn,Tm,In,True,3.196394023666561,0.4518169,0.41346067,0.41551274,0.41551274,0.4269301
mp-865359,Tm2MgIn,Tm,In,True,3.196394023666561,0.4518169,0.41346067,0.41551274,0.41551274,0.4269301
mp-865359,Tm2MgIn,Tm,In,True,3.1963940236665613,0.4518169,0.41346067,0.41551274,0.41551274,0.4269301
mp-865359,Tm2MgIn,Tm,Mg,True,3.1963940236665613,0.45189118,0.37084392,0.39298597,0.39298597,0.40524033
mp-865359,Tm2MgIn,Tm,Mg,True,3.196394023666562,0.45189118,0.37084392,0.39298597,0.39298597,0.40524033
mp-865359,Tm2MgIn,Tm,Tm,False,3.6908778999999994,0.46386114,0.35789427,0.39312816,0.39312816,0.4049612
mp-865359,Tm2MgIn,Tm,Tm,False,3.6908778999999994,0.46386114,0.35789427,0.39312816,0.39312816,0.4049612
mp-865359,Tm2MgIn,Tm,Tm,False,3.6908779,0.46386114,0.35789427,0.39312816,0.39312816,0.4049612
mp-865359,Tm2MgIn,Tm,Tm,False,3.6908779,0.46386114,0.35789427,0.39312816,0.39312816,0.4049612
mp-865359,Tm2MgIn,Tm,Mg,True,3.19639402366656,0.45189118,0.37084392,0.39298597,0.39298597,0.40524033
mp-865359,Tm2MgIn,Tm,In,True,3.1963940236665604,0.4518169,0.41346067,0.41551274,0.41551274,0.4269301
mp-865359,Tm2MgIn,Tm,In,True,3.1963940236665604,0.4518169,0.41346067,0.41551274,0.41551274,0.4269301
mp-865359,Tm2MgIn,Tm,In,True,3.1963940236665604,0.4518169,0.41346067,0.41551274,0.41551274,0.4269301
mp-865359,Tm2MgIn,Tm,Mg,True,3.1963940236665604,0.45189118,0.37084392,0.39298597,0.39298597,0.40524033
mp-865359,Tm2MgIn,Tm,In,True,3.1963940236665613,0.4518169,0.41346067,0.41551274,0.41551274,0.4269301
mp-865359,Tm2MgIn,Tm,Mg,True,3.1963940236665613,0.45189118,0.37084392,0.39298597,0.39298597,0.40524033
mp-865359,Tm2MgIn,Tm,Mg,True,3.1963940236665613,0.45189118,0.37084392,0.39298597,0.39298597,0.40524033
mp-865359,Tm2MgIn,Tm,Tm,False,3.6908779,0.46386114,0.35789427,0.39312816,0.39312816,0.4049612
mp-865359,Tm2MgIn,Tm,Tm,False,3.6908779,0.46386114,0.35789427,0.39312816,0.39312816,0.4049612
mp-865359,Tm2MgIn,Tm,Tm,False,3.6908779,0.46386114,0.35789427,0.39312816,0.39312816,0.4049612
mp-865359,Tm2MgIn,Tm,Tm,False,3.6908779,0.46386114,0.35789427,0.39312816,0.39312816,0.4049612
mp-865359,Tm2MgIn,Mg,Tm,True,3.1963940236665596,0.43454236,0.37180707,0.36097625,0.36097625,0.38910854
mp-865359,Tm2MgIn,Mg,Tm,True,3.1963940236665604,0.43454236,0.37180707,0.36097625,0.36097625,0.38910854
mp-865359,Tm2MgIn,Mg,Tm,True,3.1963940236665604,0.43454236,0.37180707,0.36097625,0.36097625,0.38910854
mp-865359,Tm2MgIn,Mg,Tm,True,3.1963940236665604,0.43454236,0.37180707,0.36097625,0.36097625,0.38910854
mp-865359,Tm2MgIn,Mg,Tm,True,3.1963940236665604,0.43454236,0.37180707,0.36097625,0.36097625,0.38910854
mp-865359,Tm2MgIn,Mg,Tm,True,3.1963940236665604,0.43454236,0.37180707,0.36097625,0.36097625,0.38910854
mp-865359,Tm2MgIn,Mg,Tm,True,3.196394023666561,0.43454236,0.37180707,0.36097625,0.36097625,0.38910854
mp-865359,Tm2MgIn,Mg,Tm,True,3.1963940236665613,0.43454236,0.37180707,0.36097625,0.36097625,0.38910854
mp-865359,Tm2MgIn,Mg,In,True,3.6908778999999994,0.44228685,0.43825698,0.40748537,0.40748537,0.42934307
mp-865359,Tm2MgIn,Mg,In,True,3.6908778999999994,0.44228685,0.43825698,0.40748537,0.40748537,0.42934307
mp-865359,Tm2MgIn,Mg,In,True,3.6908778999999994,0.44228685,0.43825698,0.40748537,0.40748537,0.42934307
mp-865359,Tm2MgIn,Mg,In,True,3.6908778999999994,0.44228685,0.43825698,0.40748537,0.40748537,0.42934307
mp-865359,Tm2MgIn,In,Tm,True,3.1963940236665604,0.4408731,0.40978146,0.36842138,0.36842138,0.40635863
mp-865359,Tm2MgIn,In,Tm,True,3.196394023666561,0.4408731,0.40978146,0.36842138,0.36842138,0.40635863
mp-865359,Tm2MgIn,In,Tm,True,3.196394023666561,0.4408731,0.40978146,0.36842138,0.36842138,0.40635863
mp-865359,Tm2MgIn,In,Tm,True,3.196394023666561,0.4408731,0.40978146,0.36842138,0.36842138,0.40635863
mp-865359,Tm2MgIn,In,Tm,True,3.196394023666561,0.4408731,0.40978146,0.36842138,0.36842138,0.40635863
mp-865359,Tm2MgIn,In,Tm,True,3.196394023666561,0.4408731,0.40978146,0.36842138,0.36842138,0.40635863
mp-865359,Tm2MgIn,In,Tm,True,3.196394023666561,0.4408731,0.40978146,0.36842138,0.36842138,0.40635863
mp-865359,Tm2MgIn,In,Tm,True,3.1963940236665613,0.4408731,0.40978146,0.36842138,0.36842138,0.40635863
mp-865359,Tm2MgIn,In,Mg,True,3.6908778999999985,0.44877055,0.43354952,0.38853925,0.38853925,0.42361975
mp-865359,Tm2MgIn,In,Mg,True,3.6908778999999994,0.44877055,0.43354952,0.38853925,0.38853925,0.42361975
mp-865359,Tm2MgIn,In,Mg,True,3.6908778999999994,0.44877055,0.43354952,0.38853925,0.38853925,0.42361975
mp-865359,Tm2MgIn,In,Mg,True,3.6908779000000003,0.44877055,0.43354952,0.38853925,0.38853925,0.42361975
mp-1219385,Sm14Au51,Sm,Au,True,3.05957017702728,0.40235475,0.33044052,0.3617863,0.3617863,0.36486053
mp-1219385,Sm14Au51,Sm,Au,True,3.05957017702728,0.40235475,0.33044052,0.3614356,0.3614356,0.36474362
mp-1219385,Sm14Au51,Sm,Au,True,3.064514990973396,0.40233642,0.33080563,0.35315537,0.35315537,0.36209914
mp-1219385,Sm14Au51,Sm,Au,True,3.064514990973396,0.40233642,0.3342201,0.35288423,0.35288423,0.36314693
mp-1219385,Sm14Au51,Sm,Au,True,3.0880048075364472,0.40229908,0.3307794,0.35304224,0.35304224,0.36204025
mp-1219385,Sm14Au51,Sm,Au,True,3.0880048075364472,0.40229908,0.33414733,0.35210437,0.35210437,0.36285028
mp-1219385,Sm14Au51,Sm,Au,True,3.1119247116427644,0.40231657,0.3386923,0.36541185,0.36541185,0.36880693
mp-1219385,Sm14Au51,Sm,Au,True,3.1131077575160973,0.40231818,0.3312978,0.3527444,0.3527444,0.36212015
mp-1219385,Sm14Au51,Sm,Au,True,3.1131077575160973,0.40231818,0.3312978,0.35220626,0.35220626,0.36194074
mp-1219385,Sm14Au51,Sm,Au,True,3.2598102859129563,0.40190196,0.33586097,0.35342082,0.35342082,0.36372793
mp-1219385,Sm14Au51,Sm,Au,True,3.26343547840577,0.40187752,0.33222365,0.3557072,0.3557072,0.36326945
mp-1219385,Sm14Au51,Sm,Au,True,3.2634354784057704,0.40187752,0.33222362,0.35515696,0.35515696,0.36308607
mp-1219385,Sm14Au51,Sm,Au,True,3.059538444152514,0.40235487,0.3304409,0.3611252,0.3611252,0.36464033
mp-1219385,Sm14Au51,Sm,Au,True,3.0595384441525146,0.40235487,0.3304409,0.36078838,0.36078838,0.36452806
mp-1219385,Sm14Au51,Sm,Au,True,3.064495096097241,0.40233648,0.33080524,0.35198808,0.35198808,0.36170992
mp-1219385,Sm14Au51,Sm,Au,True,3.064495096097241,0.40233648,0.33080524,0.35149643,0.35149643,0.36154604
mp-1219385,Sm14Au51,Sm,Au,True,3.0879438636731877,0.40229914,0.33077967,0.35218018,0.35218018,0.361753
mp-1219385,Sm14Au51,Sm,Au,True,3.0879438636731877,0.40229914,0.33077967,0.35168687,0.35168687,0.36158857
mp-1219385,Sm14Au51,Sm,Au,True,3.1120347318746644,0.40231675,0.3386925,0.3653801,0.3653801,0.36879644
mp-1219385,Sm14Au51,Sm,Au,True,3.1131308729612797,0.4023182,0.3312995,0.351821,0.351821,0.36181292
mp-1219385,Sm14Au51,Sm,Au,True,3.11313087296128,0.4023182,0.33129954,0.3517058,0.3517058,0.36177453
mp-1219385,Sm14Au51,Sm,Au,True,3.2597460105073286,0.4019024,0.33586165,0.35272908,0.35272908,0.36349773
mp-1219385,Sm14Au51,Sm,Au,True,3.2634442265506864,0.40187746,0.3322253,0.35486704,0.35486704,0.3629899
mp-1219385,Sm14Au51,Sm,Au,True,3.263444226550687,0.40187746,0.3322253,0.3546518,0.3546518,0.36291817
mp-1219385,Sm14Au51,Sm,Au,True,3.0595995511886853,0.40235466,0.33044747,0.36145347,0.36145347,0.3647519
mp-1219385,Sm14Au51,Sm,Au,True,3.0595995511886858,0.40235466,0.33044747,0.3611097,0.3611097,0.3646373
mp-1219385,Sm14Au51,Sm,Au,True,3.064396643464018,0.4023368,0.3308098,0.3528399,0.3528399,0.3619955
mp-1219385,Sm14Au51,Sm,Au,True,3.064396643464018,0.4023368,0.3308098,0.35272983,0.35272983,0.36195883
mp-1219385,Sm14Au51,Sm,Au,True,3.087979474995801,0.40229908,0.330784,0.35170853,0.35170853,0.3615972
mp-1219385,Sm14Au51,Sm,Au,True,3.0879794749958016,0.40229908,0.330784,0.35260323,0.35260323,0.36189544
mp-1219385,Sm14Au51,Sm,Au,True,3.111965312520951,0.40231663,0.3386997,0.36561397,0.36561397,0.36887679
mp-1219385,Sm14Au51,Sm,Au,True,3.11306479186418,0.40231812,0.33130258,0.3521223,0.3521223,0.3619143
mp-1219385,Sm14Au51,Sm,Au,True,3.11306479186418,0.40231812,0.33452386,0.35178083,0.35178083,0.36287427
mp-1219385,Sm14Au51,Sm,Au,True,3.259681472022567,0.40190285,0.3358639,0.35327855,0.35327855,0.36368176
mp-1219385,Sm14Au51,Sm,Au,True,3.2634202229441174,0.40187764,0.3322286,0.35483074,0.35483074,0.36297902
mp-1219385,Sm14Au51,Sm,Au,True,3.263420222944118,0.40187764,0.3322286,0.35540047,0.35540047,0.36316893
mp-1219385,Sm14Au51,Sm,Au,True,3.040803804912488,0.40246692,0.3292852,0.3603737,0.3603737,0.36404195
mp-1219385,Sm14Au51,Sm,Au,True,3.040803804912488,0.40246692,0.3292852,0.3591848,0.3591848,0.36364564
mp-1219385,Sm14Au51,Sm,Au,True,3.0504361564036637,0.40240043,0.3298077,0.35073817,0.35073817,0.3609821
